	Millis	  V_m  A_m   W_m   Wh_mTmp_m Pres_m Vcap_m State_m	  V_s  A_s   W_s   Wh_sTmp_s Pres_s Vcap_s State_s
FC	12527	59.7  0.7 41.0  0.0 31.8  0.7 53.0  1.0 	53.2  5.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	12959	59.9  0.6 40.0  0.0 31.8  0.7 53.0  1.0 	53.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1349f	54.3  2.5 136.0  0.0 31.8  0.6 53.1  1.0 	53.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	138b0	54.3  2.3 125.0  0.0 31.8  0.6 53.1  1.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1410c	54.5  2.1 117.0  0.0 31.8  0.6 53.1  1.0 	54.1  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	14827	51.9  1.9 103.0  0.0 31.8  0.6 53.4  1.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	14c35	54.7  2.1 116.0  0.0 31.8  0.6 53.4  1.0 	54.2  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	15492	54.8  1.8 103.0  0.0 31.8  0.7 53.4  1.0 	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	15bb0	54.9  1.7 97.0  0.0 31.8  0.7 53.8  1.0 	54.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	163e8	55.1  1.9 104.0  0.0 31.8  0.7 53.8  1.0 	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	16c49	55.2  1.6 92.0  0.0 31.8  0.7 53.8  1.0 	54.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	17341	55.3  1.5 87.0  0.0 31.8  0.7 54.4  1.0 	54.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	17b9e	58.9  0.6 37.0  0.0 31.8  0.7 54.4  1.0 	54.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	182c0	59.6  0.6 38.0  0.0 31.8  0.7 54.4  1.0 	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	18af4	60.0  0.6 37.0  0.0 31.8  0.7 54.4  1.0 	54.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	19356	55.3  1.7 95.0  0.0 31.8  0.7 54.4  1.0 	54.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	19a4b	55.4  1.5 83.0  0.0 32.0  0.7 54.4  1.0 	54.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1a2a9	55.5  1.4 78.0  0.0 32.1  0.7 54.8  1.0 	55.0  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1a9cf	55.6  1.5 84.0  0.0 32.3  0.7 54.8  1.0 	54.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1b202	55.6  1.3 76.0  0.0 32.4  0.7 54.8  1.0 	55.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1ba62	55.7  1.3 73.0  0.0 32.6  0.7 55.0  1.0 	55.1  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1c15b	59.0  0.6 36.0  0.0 32.7  0.7 55.0  1.0 	55.0  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1c9b7	59.7  0.6 37.0  1.0 32.9  0.7 55.0  1.0 	55.0  2.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1d216	60.1  0.6 39.0  1.0 33.0  0.7 55.0  1.0 	55.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1d90e	55.8  1.4 80.0  1.0 33.1  0.7 55.0  1.0 	55.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1e16f	55.8  1.3 74.0  1.0 33.3  0.7 55.0  1.0 	55.3  3.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1e866	55.9  1.2 68.0  1.0 33.4  0.7 55.0  1.0 	55.4  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1ec94	53.3  1.2 64.0  1.0 33.4  0.7 55.0  1.0 	55.4  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1f4f5	56.0  1.2 69.0  1.0 33.5  0.7 55.0  1.0 	54.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	1fbec	56.0  1.1 62.0  1.0 33.6  0.7 55.0  1.0 	55.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2044b	53.1  1.1 60.0  1.0 33.8  0.7 55.4  1.0 	55.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	20ca8	56.2  1.1 65.0  1.0 33.8  0.6 55.4  1.0 	54.3  8.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	213a1	52.8  3.0 161.0  1.0 34.0  0.6 55.4  1.0 	52.3  6.6 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	21c03	54.5  0.6 33.0  1.0 34.1  0.7 52.2  1.0 	51.3  5.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	222fa	59.5  0.6 38.0  1.0 34.2  0.7 52.2  1.0 	51.0  5.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	22b59	60.0  0.5 35.0  1.0 34.3  0.7 52.2  1.0 	45.6 21.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	233b7	45.6 12.5 570.0  1.0 34.4  0.6 44.2  1.0 	46.4  4.9 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	23ab1	46.7 13.9 653.0  2.0 34.6  0.6 44.2  1.0 	47.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	24311	50.3  7.9 399.0  2.0 34.9  0.6 44.2  1.0 	50.0  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	24a08	48.5  7.2 353.0  2.0 35.4  0.6 48.7  1.0 	43.4 21.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	25266	50.5  7.9 402.0  2.0 35.9  0.6 48.7  1.0 	49.3  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	25698	50.4  7.7 392.0  2.0 36.2  0.5 48.7  1.0 	43.6 12.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	261be	52.9  1.5 83.0  3.0 37.3  0.7 40.8  1.0 	40.3 15.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	265ee	58.8  0.5 33.0  3.0 37.7  0.7 40.8  1.0 	43.1  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	27117	59.9  0.6 37.0  3.0 38.7  0.7 40.8  1.0 	43.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	27546	60.1  0.6 40.0  3.0 38.9  0.6 43.0  1.0 	46.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	27da7	48.0 12.6 606.0  3.0 39.5  0.5 43.0  1.0 	40.8  4.6 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2849e	42.4 21.3 906.0  4.0 40.1  0.6 43.0  1.0 	47.5  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	28cfd	48.5 11.5 559.0  4.0 40.8  0.6 45.0  1.0 	48.5  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	29130	47.0  9.6 453.0  4.0 41.1  0.6 45.0  1.0 	48.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	29827	49.8  9.1 455.0  4.0 41.8  0.6 45.0  1.0 	46.7  3.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2a086	44.3 18.0 801.0  5.0 42.6  0.5 45.0  1.0 	38.1 21.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2a8e5	54.0  0.6 36.0  5.0 43.5  0.7 39.4  1.0 	37.6 16.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2afde	59.6  0.7 41.0  5.0 44.4  0.7 39.4  1.0 	40.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2b840	60.2  0.6 40.0  5.0 44.9  0.7 39.4  1.0 	44.6  1.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2bf37	45.2 13.1 595.0  5.0 44.9  0.6 40.3  1.0 	45.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2c796	46.4 13.7 637.0  6.0 44.9  0.6 40.3  1.0 	39.8  3.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2cff4	40.6 21.6 879.0  6.0 44.9  0.6 40.3  1.0 	41.8  2.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
