	Millis	  V_m  A_m   W_m   Wh_mTmp_m Pres_m Vcap_m State_m	  V_s  A_s   W_s   Wh_sTmp_s Pres_s Vcap_s State_s
FC	48492	18.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.0  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.1  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	 0.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.2  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	19.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	19.4  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.0  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.0  4.9 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.3  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.0  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.3  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.0  2.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.3  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.0  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.3  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.1  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.7  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.1  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.4  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.1  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.4  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.3  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.4  1.6  0.0 21.0 54.5  0.7 21.2  0.0 	18.1  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.4  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.4  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.4  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.3  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.4  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.5  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.3  2.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.5  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.3  1.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.5  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.3  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.5  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.3  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.6  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.3  5.1 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	 0.0  5.7  0.0 21.0 54.5  0.7 21.2  0.0 	18.3  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.6  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.6  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.3  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.4  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.3  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.3  5.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.7  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.7  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.4  2.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.7  1.6  0.0 21.0 54.5  0.7 21.2  0.0 	18.4  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.0  0.8  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.7  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.4  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.7  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  2.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	20.4  0.8  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  3.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	 0.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	19.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	19.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.6  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	19.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.6  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	20.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	19.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	20.3  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	18.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
