H182_noSync_v1.3.1
**
Starting Upv1.3.1
**
System Init.>>00.0V 00.0A 0000W 00000Wh 000.0C 000.0C 000.0C 000.0C 0.00B 00.0V 000.0C IN 00.0C 00 0
000 m
>>55.3V 01.5A 0087W 00000Wh 023.9C 031.3C 032.1C 031.0C 0.68B 54.4V 034.9C OP 41.3C 20 0210 0C 00 0
>>54.0V 00.7A 0039W 00000Wh 024.0C 031.3C 032.2C 031.1C 0.68B 54.4V 034.7C OP 41.1C 20 0205 0C 00 0
>>58.9V 00.6A 0037W 00000Wh 024.1C 031.4C 032.4C 031.2C 0.68B 54.4V 035.0C OP 41.1C 20 0204 0C 00 0
>>59.5V 00.6A 0040W 00000Wh 024.2C 031.5C 032.5C 031.3C 0.67B 54.4V 035.0C OP 41.1C 20 0204 0C 00 0
>>59.6V 00.6A 0038W 00000Wh 024.3C 031.6C 032.6C 031.4C 0.69B 54.4V 034.6C OP 41.1C 20 0204 0C 00 0
>>59.9V 00.6A 0038W 00000Wh 024.4C 031.6C 032.7C 031.5C 0.68B 54.4V 035.0C OP 41.1C 20 0204 0C 00 0
>>60.0V 00.6A 0037W 00000Wh 024.5C 031.7C 032.8C 031.6C 0.66B 54.4V 035.2C OP 41.1C 20 0204 0C 00 0
>>53.0V 01.5A 0082W 00000Wh 024.6C 031.8C 032.9C 031.7C 0.66B 54.4V 035.2C OP 41.3C 20 0209 0C 00 0
>>55.3V 01.7A 0095W 00000Wh 024.7C 031.8C 033.1C 031.8C 0.66B 54.4V 035.0C OP 41.4C 20 0211 0C 00 0
>>55.4V 01.6A 0089W 00000Wh 024.8C 031.9C 033.1C 031.9C 0.66B 54.4V 034.9C OP 41.3C 20 0210 0C 00 0
>>55.4V 01.5A 0083W 00000Wh 024.8C 031.9C 033.3C 032.0C 0.66B 54.4V 034.9C OP 41.3C 20 0210 0C 00 0
>>55.4V 01.5A 0083W 00000Wh 024.9C 032.0C 033.3C 032.0C 0.66B 54.4V 035.0C OP 41.3C 20 0210 0C 00 0
>>55.5V 01.4A 0078W 00000Wh 025.0C 032.0C 033.4C 032.1C 0.66B 54.8V 035.1C OP 41.3C 20 0209 0C 00 0
>>52.6V 01.3A 0072W 00000Wh 025.1C 032.1C 033.5C 032.2C 0.66B 54.8V 034.7C OP 41.3C 20 0209 0C 00 0
>>55.6V 01.5A 0084W 00000Wh 025.2C 032.2C 033.6C 032.3C 0.66B 54.8V 035.3C OP 41.3C 20 0210 0C 00 0
>>55.7V 01.4A 0082W 00000Wh 025.3C 032.2C 033.7C 032.3C 0.66B 54.8V 035.6C OP 41.3C 20 0209 0C 00 0
>>55.6V 01.3A 0076W 00000Wh 025.4C 032.3C 033.8C 032.4C 0.66B 54.8V 035.4C OP 41.3C 20 0209 0C 00 0
>>55.7V 01.3A 0074W 00000Wh 025.5C 032.3C 033.9C 032.5C 0.66B 54.8V 035.4C OP 41.3C 20 0208 0C 00 0
>>55.7V 01.3A 0073W 00000Wh 025.5C 032.4C 033.9C 032.6C 0.68B 55.0V 034.8C OP 41.3C 20 0208 0C 00 0
>>54.6V 00.6A 0032W 00000Wh 025.6C 032.5C 034.0C 032.7C 0.69B 55.0V 035.0C OP 41.1C 20 0204 0C 00 0
>>59.0V 00.6A 0036W 00000Wh 025.7C 032.5C 034.1C 032.7C 0.68B 55.0V 035.3C OP 41.1C 20 0204 0C 00 0
>>59.5V 00.5A 0034W 00001Wh 025.8C 032.6C 034.2C 032.8C 0.68B 55.0V 035.5C OP 41.1C 20 0203 0C 00 0
