	Millis	 V_cI A_cI	 V_cO A_cO	 V_MT A_MT
CS	eae8	54.1  0.0 	53.4  1.5 	 0.0  0.0 
CS	ed4b	54.0  0.0 	53.3  1.5 	 0.2  0.0 
CS	ee7d	54.1  0.0 	53.3  1.5 	 0.0  2.3 
CS	f213	53.9  0.0 	53.3  1.5 	 0.0  0.0 
CS	f477	54.2  0.0 	53.3  1.5 	 0.2  0.0 
CS	f6dc	53.9  1.6 	53.3  1.0 	 0.0  0.0 
CS	fa71	53.9  0.0 	53.2  0.5 	 0.0  0.0 
CS	fba3	53.9  0.0 	53.2  0.0 	 0.0  0.0 
CS	fe18	53.9  0.0 	53.2  0.5 	 0.0  0.0 
CS	1019d	53.9  0.8 	53.2  0.5 	 0.0  0.0 
CS	10402	53.9  0.0 	53.4  0.0 	 0.0  0.0 
CS	10676	53.4  0.0 	53.2  0.0 	 0.0  0.0 
CS	109fb	53.9  0.0 	53.2  0.0 	 0.0  0.0 
CS	10b2e	53.9  0.0 	53.2  0.0 	 0.0  0.0 
CS	10d91	55.3  0.0 	53.2  2.3 	 0.0  0.0 
CS	11127	54.2  0.4 	53.5  1.5 	 0.0  0.0 
CS	1138b	53.9  0.0 	53.3  0.0 	 0.0  0.0 
CS	114bd	53.9  0.0 	53.3  0.0 	 0.0  0.0 
CS	11985	53.7  0.0 	53.2  0.0 	 0.0  0.0 
CS	11ab7	53.9  0.0 	53.2  0.0 	 0.0  0.0 
CS	11d1b	53.9  0.0 	53.0  0.0 	 0.0  0.0 
CS	120b1	53.9  0.0 	54.6  0.0 	 0.0  0.0 
CS	12315	53.9  0.0 	53.2  5.7 	 0.0  0.0 
CS	12447	53.9  0.0 	53.2  0.5 	 0.0  0.0 
CS	1290f	53.9  0.0 	53.2  0.0 	 0.0  0.0 
CS	12a41	54.2  1.6 	53.6  0.0 	54.2  0.1 
CS	12ca4	54.3  1.6 	53.6  0.0 	54.2  0.1 
CS	1303b	54.3  1.2 	53.6  0.0 	54.3  0.1 
CS	1329f	55.4  0.4 	53.6  0.0 	56.1  0.0 
CS	133d0	54.5  2.9 	53.7  0.0 	54.4  0.0 
CS	138a9	54.5  0.4 	53.9  0.0 	54.5  0.1 
CS	139ca	54.5  0.4 	53.9  0.0 	54.5  0.1 
CS	13c2f	54.6  0.0 	53.9  0.0 	54.7  0.0 
CS	13fc5	54.5  0.4 	53.9  0.5 	54.6  0.1 
CS	14228	54.6  1.2 	54.1  0.5 	54.8  0.0 
CS	1435b	54.8  1.2 	53.9  0.0 	54.8  0.1 
CS	14822	54.8  2.9 	54.2  0.0 	54.1  0.1 
CS	14bb9	54.9  0.4 	54.2  1.0 	54.8  0.0 
CS	14ceb	54.8  0.4 	54.2  0.5 	54.8  0.1 
CS	14f4e	55.0  0.4 	54.2  0.0 	54.9  0.1 
CS	152e5	55.2  0.4 	54.3  0.0 	55.1  0.1 
CS	15549	55.1  0.0 	54.6  0.0 	55.0  0.1 
CS	1567a	55.1  0.0 	54.4  0.0 	55.8  0.1 
CS	15b43	55.0  0.4 	54.5  0.5 	55.2  0.1 
CS	15c75	55.2  0.4 	54.5  0.0 	54.5  0.1 
CS	15ed9	55.2  0.4 	54.6  0.0 	55.2  0.1 
CS	1626f	55.3  0.8 	54.5  3.3 	55.2  0.0 
CS	164d2	55.3  0.0 	54.6  0.0 	55.2  2.9 
CS	16605	55.4  0.0 	54.6  0.0 	54.8  0.1 
CS	16acc	55.4  0.0 	54.6  0.0 	55.3  0.0 
CS	16bfe	54.8  0.0 	54.7  0.0 	55.2  0.1 
CS	16e63	55.5  0.0 	54.7  0.0 	55.3  0.0 
CS	171f8	55.3  0.0 	54.5  0.0 	54.5  0.1 
CS	1745d	55.3  0.0 	54.5  0.0 	55.8  0.1 
CS	1758f	55.3  0.8 	54.5  0.0 	54.5  0.8 
CS	17a57	55.2  0.0 	54.5  0.0 	54.5  0.0 
CS	17b9a	55.2  0.0 	54.5  0.0 	54.5  0.1 
CS	17ded	55.3  0.0 	54.5  0.0 	54.5  0.1 
CS	18183	55.2  0.0 	54.5  0.0 	54.5  0.1 
CS	183e7	55.5  0.0 	54.6  0.0 	54.5  0.0 
CS	18519	55.1  0.0 	55.6  0.5 	54.4  0.1 
CS	189e1	55.5  0.0 	54.7  0.0 	55.4  0.0 
CS	18b13	55.8  0.4 	54.8  0.0 	55.3  0.1 
CS	18d77	55.5  0.0 	54.8  0.0 	55.4  0.1 
CS	1910d	55.5  0.0 	54.8  0.0 	55.5  0.0 
CS	19371	55.5  0.0 	54.8  0.0 	55.5  0.1 
CS	194a3	55.5  0.0 	54.1  0.0 	55.5  0.1 
CS	1983e	55.6  0.0 	54.8  0.0 	55.5  0.1 
CS	19a9d	55.6  0.0 	54.9  0.0 	55.5  0.1 
CS	19d01	55.7  0.0 	54.9  0.0 	55.5  0.1 
CS	1a097	55.6  0.0 	55.0  0.0 	55.6  0.1 
CS	1a2fb	55.8  0.0 	55.0  0.0 	55.7  0.0 
CS	1a42d	55.2  0.0 	55.0  0.0 	55.5  0.1 
CS	1a7c3	55.8  0.0 	55.1  0.0 	55.7  0.0 
CS	1aa2d	55.8  0.0 	54.9  0.0 	55.8  0.0 
CS	1ac8b	55.8  0.0 	55.1  0.0 	55.8  0.0 
CS	1b021	55.8  0.0 	55.2  0.0 	55.8  0.1 
CS	1b153	55.6  0.0 	55.2  0.0 	55.7  0.1 
CS	1b3b7	55.9  0.4 	55.2  0.0 	55.8  0.5 
CS	1b74d	55.8  6.5 	54.9  3.3 	55.0  0.0 
CS	1b9b2	55.8  0.0 	55.1  0.0 	55.0  0.1 
CS	1bae4	55.8  0.0 	55.1  0.0 	55.0  0.1 
CS	1bfac	55.8  0.0 	55.1  0.0 	55.0  0.1 
CS	1c0de	55.8  0.0 	55.0  0.0 	55.0  0.1 
CS	1c342	55.8  0.0 	55.0  0.0 	55.0  0.0 
CS	1c6d8	55.7  0.0 	55.0  0.0 	55.0  0.1 
CS	1c93c	55.8  0.0 	55.0  2.0 	55.0  0.1 
CS	1ca6e	55.9  0.0 	55.0  0.0 	54.8  0.1 
CS	1cf36	57.2  0.0 	55.2  0.0 	55.1  0.1 
CS	1d068	55.8  0.0 	55.2  0.0 	55.8  0.1 
CS	1d2cc	55.9  0.0 	55.2  0.0 	55.8  0.1 
CS	1d662	56.0  0.0 	55.2  0.0 	55.9  0.0 
CS	1d8c6	56.0  0.0 	55.2  0.0 	55.8  0.1 
CS	1d9f8	56.0  0.0 	55.2  0.0 	55.9  0.1 
CS	1dec0	56.0  0.0 	55.3  0.0 	55.9  0.1 
CS	1dff2	56.1  0.0 	55.3  3.3 	55.9  0.1 
CS	1e257	56.1  0.0 	55.3  0.0 	55.9  0.1 
CS	1e5ec	56.1  0.0 	55.4  0.0 	56.1  0.0 
CS	1e862	56.2  0.0 	55.4  0.0 	56.3  0.1 
CS	1e983	56.2  0.0 	55.4  0.0 	57.2  0.1 
CS	1ee4a	56.2  0.0 	55.4  0.0 	56.1  0.1 
CS	1f1e1	56.0  0.0 	55.5  0.0 	56.3  0.1 
CS	1f313	56.2  0.0 	54.9  0.0 	56.1  0.0 
CS	1f576	56.2  0.0 	55.8  0.0 	56.1  0.1 
CS	1f91e	56.5  0.0 	55.5  6.9 	56.1  0.1 
CS	1fb71	56.2  0.0 	55.6  0.0 	56.1  0.1 
CS	1fca3	56.2  0.0 	55.4  0.0 	55.5  0.1 
CS	2016b	56.3  0.0 	55.6  0.0 	56.2  0.1 
CS	2029d	56.3  0.0 	55.6  0.0 	56.2  0.0 
CS	20502	56.4  0.0 	55.5  0.0 	56.2  0.1 
CS	20897	54.9  0.0 	54.1  6.0 	54.4  9.3 
CS	20afb	53.6  0.0 	54.3  8.0 	53.2 14.5 
CS	20c2e	53.0  0.0 	52.7  8.3 	53.1 14.1 
CS	210f5	53.3  0.0 	52.4  6.6 	52.8 12.4 
CS	21227	53.2  0.0 	52.3  6.6 	52.7 12.1 
CS	2148c	52.0  0.0 	50.6 12.8 	51.7 14.9 
CS	21822	51.5  0.4 	50.8  8.6 	51.1 12.0 
CS	21a86	52.0  0.0 	51.3  5.7 	51.4  6.8 
CS	21bb8	51.4  0.0 	50.8  5.4 	51.1  9.0 
CS	21f53	51.5  0.0 	51.6  0.0 	51.5  3.2 
CS	221b3	51.7  0.0 	51.0  5.7 	51.1  4.7 
CS	22416	49.1  0.0 	48.3 13.3 	48.8 17.3 
CS	227ad	48.5  0.0 	47.8 10.0 	48.4 14.1 
CS	22a11	46.4  0.0 	45.6 21.3 	46.5 25.7 
CS	22b53	47.7  0.0 	47.1 11.1 	47.8 27.9 
CS	22ed9	45.8  0.0 	45.9 11.1 	47.1 28.9 
CS	23142	46.8  0.0 	46.4  4.9 	46.9 21.7 
CS	233b3	47.4  0.0 	46.8  4.6 	47.4 19.6 
CS	23738	47.5  0.0 	46.9  1.5 	47.5 16.4 
CS	2386a	48.4  2.3 	47.8  0.0 	48.8  6.4 
CS	23acd	50.1  7.5 	49.3  0.5 	50.1  0.0 
CS	23e64	50.5  7.0 	50.9  0.0 	50.5  0.0 
