	Millis	 V_cI A_cI	 V_cO A_cO	 V_MT A_MT
CS	40f80	25.9  0.0 	25.4 28.5 	26.5 34.5 
CS	41316	24.8  0.0 	24.5 26.0 	26.1 29.5 
CS	41448	24.4  0.0 	23.9 24.0 	24.9 28.9 
CS	416ac	24.2  0.0 	23.6 21.3 	24.3 25.3 
CS	41a42	27.3  0.0 	27.5  0.0 	28.8 40.0 
CS	41ca6	28.3  0.0 	27.8  0.0 	29.4 38.7 
CS	41dd9	27.9  0.0 	27.5  0.0 	29.2 38.4 
CS	422a1	28.5  0.0 	28.1  0.0 	29.8 37.2 
CS	423d2	28.5  0.0 	28.1  0.0 	29.8 36.8 
CS	42637	29.1  2.9 	28.6  0.0 	30.2 35.6 
CS	429df	29.8  4.0 	29.5  2.0 	31.0 32.0 
CS	42c32	30.5  4.0 	30.0  0.0 	31.4 32.0 
CS	42e96	27.4  0.0 	26.9 16.5 	27.2 18.1 
CS	4323d	26.1  0.0 	25.5 15.3 	25.8 14.5 
CS	43490	24.8  0.0 	24.2 14.3 	24.6 17.5 
CS	435c2	24.2  0.0 	23.6 14.7 	24.6 16.3 
CS	43a9b	23.9  0.0 	23.4 10.0 	23.6 15.2 
CS	43bbd	23.8  0.0 	23.2 13.0 	23.5 14.8 
CS	43e21	22.1  0.0 	21.7 11.7 	22.2 16.3 
CS	441b7	24.2  0.0 	23.9  0.5 	23.7  0.3 
CS	4441b	24.2  0.0 	23.9  0.0 	23.7  0.1 
CS	4454d	24.3  0.0 	23.9  0.5 	23.8  0.0 
CS	448e4	32.2 33.7 	31.6  2.0 	32.4  0.8 
CS	44b59	26.2  0.0 	25.6  0.0 	26.9 40.0 
CS	44dac	25.3  0.0 	25.0  0.0 	26.4 40.0 
CS	45142	24.2  0.0 	23.8  6.9 	25.2 40.0 
CS	453b8	25.2  0.0 	25.4  3.0 	26.3 40.0 
CS	454d9	25.0  0.0 	24.5  1.0 	25.6 40.0 
CS	4586f	25.6  0.0 	25.2  0.0 	26.5 38.4 
CS	45ae1	26.2  0.0 	24.9  0.0 	27.2 37.3 
CS	45d38	21.9  0.0 	21.5 18.9 	22.2 23.7 
CS	460cd	26.4  0.0 	25.8  0.0 	27.3 38.1 
CS	46332	26.2  0.8 	25.8  0.0 	27.4 34.5 
CS	46596	27.1  0.4 	26.6  0.0 	28.0 34.0 
CS	4692d	26.3  0.0 	26.2  0.0 	27.6 35.4 
CS	46b91	26.5  0.0 	26.2  0.0 	27.7 35.3 
CS	46df4	26.6  0.0 	26.3  0.0 	27.9 34.4 
CS	4718b	26.9  0.0 	26.5  0.0 	28.5 32.8 
CS	473ef	23.3  4.0 	22.8 13.3 	23.1 15.1 
CS	47652	23.0  0.0 	22.7 16.0 	22.9 15.7 
CS	479e9	22.1  0.0 	21.7 15.7 	21.9 18.1 
CS	47c4d	21.1  4.0 	20.0 16.0 	22.2 16.9 
CS	47d90	20.5  0.0 	19.8 15.0 	20.1 16.8 
CS	4811c	19.3  0.0 	18.8 16.8 	19.7 17.6 
CS	48379	22.3  0.0 	22.0  3.3 	21.8  0.1 
CS	485de	22.3  0.0 	21.5  1.0 	21.9  0.1 
CS	48973	22.3  0.0 	22.0  0.0 	21.9  0.4 
CS	48d0a	18.0  0.0 	18.3  9.1 	18.5 15.2 
CS	48f6d	17.2  0.0 	16.9 15.3 	17.5 19.1 
CS	4909f	19.2  0.0 	20.0 10.6 	18.6 14.0 
CS	49567	19.4  0.0 	19.0 11.4 	18.7 11.3 
CS	49699	15.2  0.0 	15.0 12.0 	15.5 16.1 
CS	498fd	18.5  0.0 	18.2 10.0 	17.9  8.8 
CS	49c94	17.6  0.0 	17.3 10.3 	17.3  8.3 
CS	49ef7	11.9  0.0 	11.8 15.3 	12.5 20.5 
CS	4a029	17.4  0.0 	17.0  0.0 	17.0  0.1 
CS	4a4f2	17.3  0.0 	17.0  0.0 	17.0  0.1 
CS	4a623	17.3  0.0 	17.1  0.0 	17.0  0.1 
CS	4a888	17.4  0.0 	17.2  0.0 	17.0  2.9 
CS	4ac1e	17.5  0.0 	17.2  0.0 	17.0  0.1 
CS	4ae82	17.5  0.0 	17.3  0.0 	17.1  0.8 
CS	4afb4	17.5  0.0 	17.3  0.0 	17.1  0.1 
CS	4b34a	17.5  0.0 	17.3  0.0 	17.2  0.1 
CS	4b5ae	17.5  0.0 	17.3  0.0 	17.2  0.1 
CS	4b812	17.6  4.7 	17.3  0.0 	17.2  0.1 
CS	4bba8	17.6  0.0 	17.3  3.3 	17.3  0.1 
CS	4bcdb	17.6  1.6 	17.3  0.0 	17.3  0.1 
CS	4bf3e	16.9  0.0 	17.3  0.0 	17.3  0.1 
CS	4c2d4	17.7  0.0 	17.4  0.0 	17.3  0.1 
CS	4c539	17.7  0.0 	17.4  0.0 	17.3  0.1 
CS	4c79c	17.7  0.0 	17.4  0.0 	17.3  1.5 
CS	4cb33	17.7  0.4 	17.5  0.0 	17.3  0.0 
CS	4cc65	17.7  0.0 	17.5  0.0 	17.3  0.1 
CS	4cec8	17.7  0.0 	17.5  0.0 	17.3  0.1 
CS	4d25f	17.7  0.0 	17.8  0.0 	17.4  0.1 
CS	4d4c3	17.6  0.0 	17.5  0.0 	16.7  0.1 
CS	4d5f5	17.7  0.0 	17.5  0.0 	17.4  0.1 
CS	4dabd	17.8  0.0 	17.6  0.0 	17.4  0.1 
CS	4dbef	17.7  0.0 	17.6  0.0 	17.0  0.1 
CS	4de53	17.8  0.0 	17.6  0.0 	17.4  0.8 
CS	4e1e9	17.8  0.0 	18.4  0.0 	15.6  0.1 
CS	4e44d	17.8  0.0 	17.6  0.0 	15.2  0.1 
CS	4e580	17.8  0.0 	17.3  0.0 	15.2  0.1 
CS	4ea47	17.9  0.0 	17.7  0.0 	14.5  0.0 
CS	4eb79	17.9  0.0 	17.7  0.0 	14.5  0.1 
CS	4edde	17.9  0.0 	17.7  1.5 	14.2  0.1 
CS	4f173	17.9  0.0 	17.7  0.0 	13.8  0.1 
CS	4f3d8	17.9  1.6 	17.7  0.0 	13.5  0.1 
CS	4f50a	17.9  0.0 	17.6  0.0 	13.4  0.1 
CS	4f89f	17.3  0.0 	17.7  0.0 	13.1  0.1 
CS	4fb04	18.0  0.0 	17.7  0.0 	12.8  0.1 
CS	4fd68	18.0  0.0 	17.7  0.0 	12.6  0.0 
CS	500fd	18.0  0.0 	17.7  0.0 	11.5  0.0 
CS	50230	18.0  0.0 	17.7  0.0 	12.2  0.1 
CS	50494	18.0  1.6 	17.7  0.0 	11.9  0.1 
CS	5082b	17.8  0.0 	17.7  0.0 	11.5  0.1 
CS	50a8e	18.0  0.0 	17.8  0.0 	11.4  0.1 
CS	50cf2	18.0  0.0 	17.8  0.0 	11.2  0.1 
CS	51089	18.0  0.0 	17.8  0.0 	10.9  0.0 
CS	511ba	18.0  0.0 	18.0  0.0 	10.8  0.1 
CS	5141e	18.0  0.0 	17.8  0.0 	10.6  0.1 
CS	517b5	18.0  0.0 	18.0  0.0 	10.4  0.1 
CS	51a19	18.0  0.0 	17.8  0.0 	10.1  0.1 
CS	51b4a	18.1  0.0 	17.8  3.3 	10.1  0.1 
CS	52013	18.1  0.0 	17.3  0.0 	 9.8  0.1 
CS	52145	17.9  0.0 	17.9  0.0 	 9.7  0.1 
CS	523a8	18.1  0.0 	17.9  0.0 	 9.5  0.1 
CS	5273f	18.1  0.0 	17.6  0.0 	 9.3  0.1 
CS	529a3	18.1  0.0 	17.9  0.0 	 9.2  0.1 
CS	52ad6	18.1  0.0 	17.9  0.0 	 9.0  0.1 
CS	52f9d	18.1  0.0 	17.6  0.0 	 8.8  0.1 
CS	53334	18.1  0.0 	18.0  0.0 	 8.6  0.1 
CS	53466	18.0  0.0 	17.9  0.0 	 7.5  0.1 
CS	536ca	17.9  0.0 	18.0  0.0 	 8.3  0.1 
CS	53a60	18.2  0.0 	18.0  0.0 	 8.2  0.1 
CS	53cc4	18.2  0.0 	19.2  0.0 	 8.1  0.1 
CS	53df6	19.3  0.4 	18.0  0.0 	 7.6  0.1 
CS	542be	19.4  0.0 	18.0  0.0 	 7.2  0.1 
CS	543f0	19.4  0.0 	18.0  0.0 	 7.4  0.1 
CS	54654	18.2  0.0 	18.0  0.0 	 7.6  0.0 
CS	549eb	18.2  0.0 	18.0  1.5 	 7.4  0.1 
CS	54c4e	18.0  0.0 	18.0  4.9 	 7.2  0.8 
CS	54d81	18.3  0.0 	19.8  0.0 	 7.3  0.1 
CS	55249	18.9  0.0 	18.0  0.0 	 6.5  0.1 
CS	5537b	18.3  0.0 	18.0  0.0 	 7.0  0.1 
CS	555df	18.0  0.0 	18.0  0.0 	 6.3  0.1 
CS	55975	18.1  0.0 	18.0  0.0 	 6.9  0.1 
CS	55bda	18.3  0.0 	18.0  2.0 	 6.6  0.1 
CS	55d0c	18.3  0.0 	18.0  0.0 	 6.5  0.0 
CS	560a8	18.3  0.4 	18.0  0.0 	 6.8  0.1 
CS	56306	18.3  0.0 	18.0  0.0 	 6.3  0.1 
CS	5656a	18.3  0.0 	18.0  0.0 	 6.2  0.1 
CS	56901	18.3  0.0 	18.0  0.0 	 6.1  0.1 
CS	56b64	18.3  0.0 	18.1  0.0 	 6.0  0.1 
CS	56c96	18.4  0.0 	18.1  0.0 	 5.9  0.1 
CS	5702d	18.4  0.0 	18.0  0.0 	 5.8  0.0 
CS	57298	17.7  0.0 	18.1  0.0 	 5.7  0.0 
CS	574f5	18.4  0.0 	18.1  0.0 	 5.6  0.1 
CS	5788b	18.4  0.0 	17.6  0.0 	 5.5  0.1 
CS	579bd	18.4  0.0 	18.1  0.0 	 5.4  0.0 
CS	57c21	18.4  0.0 	18.1  0.0 	 5.3  0.0 
CS	57fb8	18.3  0.0 	18.1  0.0 	 5.5  0.1 
CS	5821c	18.4  0.0 	17.3  0.0 	 5.1  0.1 
CS	5834d	18.4  0.0 	18.1  0.0 	 5.1  0.1 
CS	58816	18.4  0.0 	18.1  0.0 	 4.8  0.1 
CS	58948	18.4  1.6 	18.1  0.0 	 4.8  0.0 
CS	58bad	18.4  0.0 	18.6  0.0 	 4.8  0.1 
CS	58f42	18.4  0.0 	18.2  0.0 	 4.7  0.1 
CS	591a6	18.4  0.0 	18.2  0.0 	 4.6  0.1 
CS	592d9	18.4  0.0 	18.2  0.0 	 4.5  0.8 
CS	597a1	18.4  0.0 	17.6  0.0 	 4.4  0.1 
CS	598d3	18.4  0.0 	18.2  0.0 	 4.1  0.1 
CS	59b37	17.7  0.0 	18.2  0.0 	 4.0  0.1 
CS	59ecd	18.4  0.0 	18.2  0.0 	 4.1  0.1 
CS	5a132	18.4  0.0 	18.3  0.0 	 4.0  0.1 
CS	5a264	18.4  0.0 	18.2  0.0 	 4.0  0.1 
CS	5a602	18.5  0.0 	18.0  0.0 	 3.9  0.0 
CS	5a85e	18.4  0.0 	18.2  0.0 	 4.1  0.1 
CS	5aac2	18.5  1.2 	18.3  0.0 	 3.8  0.8 
CS	5ae59	18.5  0.0 	18.3  0.0 	 3.7  0.1 
CS	5b0bd	18.5  0.0 	18.3  2.7 	 3.6  0.1 
CS	5b1ef	18.5  0.0 	18.3  0.0 	 3.5  0.1 
CS	5b6b7	18.5  0.0 	18.2  0.0 	 3.5  0.0 
CS	5b91b	18.5  0.0 	18.3  1.5 	 3.4  0.1 
CS	5ba4d	18.5  0.0 	17.9  0.0 	 3.4  0.1 
CS	5bde4	18.5  0.0 	18.3  0.0 	 3.2  0.0 
CS	5c048	18.5  0.0 	18.3  0.0 	 3.2  0.0 
CS	5c2ad	17.9  0.8 	18.6  2.3 	 2.7  0.8 
CS	5c642	18.5  0.0 	18.3  0.0 	 3.1  0.1 
CS	5c774	18.5  0.0 	18.3  0.0 	 3.0  0.0 
CS	5c9d9	18.6  0.0 	18.3  2.0 	 3.0  0.1 
CS	5cd6f	18.6  0.0 	18.3  0.0 	 2.9  0.0 
CS	5cfd3	18.6  0.0 	18.3  5.1 	 2.8  0.1 
CS	5d238	18.6  5.7 	18.3  0.0 	 3.0  0.0 
CS	5d5cd	18.6  0.0 	18.3  0.0 	 3.1  0.1 
CS	5d964	18.6  0.0 	17.9  0.0 	 3.3  0.1 
CS	5dbc8	18.6  0.0 	18.2  0.0 	 3.4  0.1 
CS	5dcfa	18.6  0.0 	18.3  2.7 	 3.4  0.1 
CS	5e098	18.6  0.0 	18.3  0.0 	 5.0  0.1 
CS	5e2f4	18.6  0.0 	18.3  0.5 	 3.8  0.1 
CS	5e559	18.5  0.0 	18.3  0.0 	 4.1  0.1 
CS	5e8ef	18.6  0.0 	18.3  0.0 	 4.0  0.1 
CS	5eb53	18.4  0.0 	18.3  0.0 	 4.1  0.0 
CS	5ec86	18.7  0.0 	18.3  0.0 	 2.5  0.1 
CS	5f01c	18.7  0.0 	18.3  0.0 	 4.0  0.1 
CS	5f288	18.0  0.0 	18.3  5.7 	 4.0  0.1 
CS	5f4e4	18.6  0.0 	18.3  0.0 	 3.4  0.1 
CS	5f87a	18.7  0.0 	18.4  0.0 	 4.1  0.1 
CS	5f9ad	18.7  0.0 	18.6  0.0 	 3.9  0.1 
CS	5fc11	19.0  0.0 	18.4  0.0 	 3.9  0.0 
CS	5ffa7	18.7  0.0 	18.4  0.0 	 4.1  0.8 
CS	6020c	18.7  0.0 	18.4  2.0 	 4.1  0.1 
CS	6033d	18.7  0.0 	18.4  0.0 	 4.2  0.0 
CS	60806	18.7  0.0 	18.4  0.0 	 4.4  0.1 
CS	60938	18.7  1.6 	18.4  0.0 	 4.4  0.1 
CS	60b9c	18.7  5.7 	18.4  0.0 	 4.3  0.1 
CS	60f33	18.7  0.0 	18.4  0.0 	 4.5  0.1 
CS	61197	18.0  0.8 	18.6  0.0 	 4.5  0.0 
CS	612c9	18.7  6.3 	18.0  2.7 	 4.0  0.1 
CS	61792	18.1  0.0 	18.4  0.0 	 4.3  0.1 
CS	618c4	18.7  0.0 	18.4  0.0 	 4.0  0.1 
CS	61b28	18.7  0.0 	18.4  0.0 	 4.0  0.1 
CS	61ebe	18.7  0.0 	18.2  0.0 	 3.9  0.1 
CS	62122	18.7  0.0 	17.7  0.0 	 3.8  0.1 
CS	62254	18.8  0.0 	18.2  0.0 	 3.7  0.1 
CS	625f3	18.8  2.6 	18.5  0.0 	 3.7  0.1 
CS	6284f	18.9  0.0 	18.5  0.0 	 3.5  0.0 
CS	62ab4	18.8  0.0 	18.5  0.0 	 2.5  0.1 
CS	62e4a	18.8  0.8 	18.5  0.0 	 3.4  0.0 
CS	630af	18.8  0.0 	18.5  0.0 	 3.3  0.1 
CS	631e1	18.8  0.0 	18.5  0.0 	 3.3  2.9 
CS	63577	19.5  0.0 	18.5  0.0 	 3.1  0.1 
CS	637e3	18.8  0.0 	18.5  0.0 	 2.3  0.1 
CS	63a3f	18.7  0.0 	18.5  0.0 	 3.1  0.1 
CS	63dd6	18.8  0.0 	18.5  2.0 	 3.0  0.1 
CS	63f08	18.8  0.0 	18.5  0.0 	 2.9  0.1 
CS	6416c	18.8  3.1 	18.5  0.0 	 2.9  0.1 
CS	64503	18.6  0.0 	18.5  0.0 	 2.8  0.8 
CS	64767	18.8  0.0 	18.5  0.0 	 2.7  0.1 
CS	64899	18.8  0.0 	18.0  0.0 	 2.7  0.1 
CS	64d62	18.8  0.0 	17.9  0.0 	 2.6  0.1 
CS	64e94	18.8  0.0 	18.5  0.0 	 2.5  0.1 
CS	650f8	18.8  0.0 	18.6  0.0 	 2.5  0.1 
CS	6548f	18.8  0.0 	18.6  0.0 	 2.4  0.1 
CS	656f3	18.8  0.0 	18.6  0.0 	 2.3  0.1 
CS	65824	18.0  0.8 	18.6  0.0 	 3.5  0.0 
CS	65ced	18.8  0.4 	18.6  0.0 	 2.3  0.0 
CS	65e1f	18.8  0.0 	18.6  2.7 	 2.3  0.1 
CS	66084	18.8  0.0 	18.6  0.0 	 2.2  0.1 
CS	6641a	18.8  0.0 	18.6  0.0 	 2.6  0.1 
CS	6667e	20.4  0.8 	18.6  0.0 	 1.3  0.5 
CS	667b1	18.8  0.0 	18.6  0.0 	 1.9  0.1 
CS	66b51	18.8  0.0 	17.9  0.0 	 1.9  0.1 
CS	66dac	18.8  0.0 	18.6  0.0 	 1.9  0.3 
CS	67010	18.8  0.0 	18.6  0.0 	 1.9  0.1 
CS	673a6	18.8  0.0 	18.6  0.0 	 1.9  0.1 
CS	6760a	18.8  0.0 	18.6  3.3 	 1.8  0.1 
CS	6773c	18.8  0.0 	19.2  0.0 	 1.8  0.1 
CS	67ad2	18.8  0.0 	18.5  0.0 	 1.7  0.1 
CS	67f9b	18.9  0.0 	18.0  0.0 	 1.6  0.3 
CS	680cd	19.0  0.0 	18.6  0.0 	 1.5  0.3 
CS	68332	18.8  0.0 	18.6  3.7 	18.5  2.0 
CS	686c8	18.8  3.1 	18.6  0.0 	18.5  0.1 
CS	6892d	18.8  0.0 	18.7  0.0 	18.5  0.5 
CS	68a5f	18.9  3.1 	18.2  3.3 	18.6  2.5 
CS	68f27	18.9  4.3 	18.6  0.0 	18.5  0.1 
CS	6905a	18.9  0.0 	18.6  0.0 	17.9  0.1 
CS	692bd	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	69653	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	698b8	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	699ea	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	69d81	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	69fe5	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	6a249	18.9  0.0 	18.6  2.7 	18.5  0.1 
CS	6a5e0	18.8  0.0 	18.6  0.0 	18.5  0.0 
CS	6a712	18.6  0.0 	18.6  0.0 	18.0  0.1 
CS	6a976	18.8  0.0 	18.6  0.0 	17.9  0.1 
CS	6ad0d	18.9  0.0 	18.6  0.0 	18.5  0.8 
CS	6af71	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	6b1d6	18.9  0.8 	18.6  0.0 	18.5  0.0 
CS	6b56c	18.9  0.0 	19.0  0.0 	18.5  0.1 
CS	6b69e	18.8  0.0 	18.6  0.0 	18.1  0.1 
CS	6b903	18.8  0.0 	18.6  0.0 	18.5  0.0 
CS	6bc98	18.9  0.0 	18.6  1.5 	18.6  0.1 
CS	6befc	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	6c02f	19.1  0.0 	18.6  0.0 	18.3  0.1 
CS	6c4f7	18.9  0.0 	18.6  2.0 	18.5  0.1 
CS	6c629	19.0  0.0 	18.6  0.0 	18.6  0.1 
CS	6c88e	18.9  5.7 	18.6  0.0 	18.5  0.1 
CS	6cc24	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	6ce89	18.6  0.0 	18.6  0.0 	17.9  0.8 
CS	6cfbb	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	6d484	18.6  0.0 	18.6  0.0 	18.3  0.1 
CS	6d5b6	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	6d81a	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	6dbb1	18.9  4.7 	18.6  0.0 	18.5  0.1 
CS	6de15	18.9  0.0 	20.2  0.0 	18.5  0.1 
CS	6df47	18.8  0.0 	18.6  0.0 	18.2  0.1 
CS	6e2de	18.6  0.0 	18.6  0.0 	19.8  0.1 
CS	6e542	19.0  0.0 	18.6  0.0 	18.2  0.1 
CS	6e7a6	18.9  0.0 	18.1  0.0 	18.5  0.1 
CS	6eb3d	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	6ec6f	18.9  0.0 	18.6  0.0 	18.4  0.1 
CS	6eed3	18.9  0.0 	18.6  0.0 	18.5  0.1 
CS	6f26a	18.9  0.0 	18.6  0.0 	17.3  0.0 
CS	6f4ce	20.3  0.0 	18.6  0.0 	15.7  0.1 
CS	6f733	18.9  0.0 	18.6  0.0 	15.4  0.1 
CS	6fac9	18.9  0.0 	18.6  0.0 	14.9  0.1 
